Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      6.51     0.00     1200     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_Vector_base(unsigned long, std::allocator<Point> const&)
  0.00      6.51     0.00     1200     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::~_Vector_base()
  0.00      6.51     0.00     1200     0.00     0.00  std::__new_allocator<Point>::deallocate(Point*, unsigned long)
  0.00      6.51     0.00     1200     0.00     0.00  std::__new_allocator<Point>::allocate(unsigned long, void const*)
  0.00      6.51     0.00     1200     0.00     0.00  Point* std::__uninitialized_default_n_1<true>::__uninit_default_n<Point*, unsigned long>(Point*, unsigned long)
  0.00      6.51     0.00     1200     0.00     0.00  RouteRequest& std::vector<RouteRequest, std::allocator<RouteRequest> >::emplace_back<RouteRequest>(RouteRequest&&)
  0.00      6.51     0.00     1200     0.00     0.00  std::vector<RouteRequest, std::allocator<RouteRequest> >::end()
  0.00      6.51     0.00     1200     0.00     0.00  std::vector<RouteRequest, std::allocator<RouteRequest> >::back()
  0.00      6.51     0.00     1200     0.00     0.00  std::vector<RouteRequest, std::allocator<RouteRequest> >::push_back(RouteRequest&&)
  0.00      6.51     0.00     1200     0.00     0.00  std::vector<Point, std::allocator<Point> >::_S_max_size(std::allocator<Point> const&)
  0.00      6.51     0.00     1200     0.00     0.00  std::vector<Point, std::allocator<Point> >::_S_check_init_len(unsigned long, std::allocator<Point> const&)
  0.00      6.51     0.00     1200     0.00     0.00  std::vector<Point, std::allocator<Point> >::_M_default_initialize(unsigned long)
  0.00      6.51     0.00     1200     0.00     0.00  std::vector<Point, std::allocator<Point> >::vector(unsigned long, std::allocator<Point> const&)
  0.00      6.51     0.00     1200     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)
  0.00      6.51     0.00     1200     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_S_copy_chars(char*, char const*, char const*)
  0.00      6.51     0.00     1200     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_mutate(unsigned long, unsigned long, char const*, unsigned long)
  0.00      6.51     0.00     1200     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&)
  0.00      6.51     0.00     1200     0.00     0.00  void std::_Construct<Point>(Point*)
  0.00      6.51     0.00     1200     0.00     0.00  Point* std::__fill_n_a<Point*, unsigned long, Point>(Point*, unsigned long, Point const&, std::random_access_iterator_tag)
  0.00      6.51     0.00     1200     0.00     0.00  Point* std::__addressof<Point>(Point&)
  0.00      6.51     0.00     1200     0.00     0.00  decltype (::new ((void*)(0)) RouteRequest((declval<RouteRequest>)())) std::construct_at<RouteRequest, RouteRequest>(RouteRequest*, RouteRequest&&)
  0.00      6.51     0.00     1200     0.00     0.00  Point* std::__uninitialized_default_n<Point*, unsigned long>(Point*, unsigned long)
  0.00      6.51     0.00     1200     0.00     0.00  Point* std::__uninitialized_default_n_a<Point*, unsigned long, Point>(Point*, unsigned long, std::allocator<Point>&)
  0.00      6.51     0.00     1200     0.00     0.00  void std::fill<int*, int>(int*, int*, int const&)
  0.00      6.51     0.00     1200     0.00     0.00  std::remove_reference<RouteRequest&>::type&& std::move<RouteRequest&>(RouteRequest&)
  0.00      6.51     0.00     1200     0.00     0.00  Point* std::fill_n<Point*, unsigned long, Point>(Point*, unsigned long, Point const&)
  0.00      6.51     0.00     1200     0.00     0.00  void std::_Destroy<Point*>(Point*, Point*)
  0.00      6.51     0.00     1200     0.00     0.00  void std::__fill_a<Point*, Point>(Point*, Point*, Point const&)
  0.00      6.51     0.00     1200     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)::_Guard::_Guard(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      6.51     0.00     1200     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)::_Guard::~_Guard()
  0.00      6.51     0.00      624     0.00     0.00  std::__detail::_Mod<unsigned long, 4294967296ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00      6.51     0.00      624     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 4294967296ul, 1ul, 0ul>(unsigned long)
  0.00      6.51     0.00      623     0.00     0.00  std::__detail::_Mod<unsigned long, 624ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00      6.51     0.00      623     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 624ul, 1ul, 0ul>(unsigned long)
  0.00      6.51     0.00      522     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::base() const
  0.00      6.51     0.00      520     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__addressof<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
